,secs,x,y,delay
85,1433753604,17.0428911605,28.1403293578,2.74
86,1433753604,17.0331178624,28.1393315278,3.74
87,1433753605,16.9827869004,28.1744413416,2.66
88,1433753605,16.7686509807,28.1810969947,4.18
89,1433753606,16.5436315967,28.2141067904,2.69
90,1433753606,16.2851127945,28.2479370367,2.75
91,1433753607,16.0434039396,28.2640195923,2.74
92,1433753607,15.7892875151,28.2135706098,5.93
93,1433753608,15.7892875151,28.2135706098,2.62
94,1433753608,15.5897738487,28.2510034032,2.71
95,1433753609,15.5897738487,28.2510034032,2.69
96,1433753609,15.5897738487,28.2510034032,3.15
97,1433753610,15.5897738487,28.2510034032,7.5
98,1433753610,15.5897738487,28.2510034032,2.65
99,1433753611,15.5897738487,28.2510034032,2.67
100,1433753611,15.5897738487,28.2510034032,3.41
101,1433753612,15.5897738487,28.2510034032,2.67
102,1433753612,15.5897738487,28.2510034032,2.64
103,1433753613,15.5897738487,28.2510034032,2.63
104,1433753613,15.5897738487,28.2510034032,2.69
105,1433753614,15.5897738487,28.2510034032,2.62
106,1433753614,15.5897738487,28.2510034032,2.71
107,1433753615,15.5897738487,28.2510034032,2.63
108,1433753615,15.5897738487,28.2510034032,2.7
109,1433753616,15.5897738487,28.2510034032,2.65
110,1433753616,15.5897738487,28.2510034032,2.69
111,1433753617,15.5096646692,28.2646406648,3.9
112,1433753617,15.4029684196,28.5262757634,2.66
113,1433753618,15.3329037205,28.762866242,3.01
114,1433753618,15.2481772301,28.9908236445,4.28
115,1433753619,15.1868619675,29.2226254286,2.7
116,1433753619,15.0354861165,29.4443053035,17.5
117,1433753620,14.9525355897,29.6937813076,2.99
118,1433753620,14.7850473997,29.9405404064,5.69
119,1433753621,14.6496409959,30.1434173903,4.18
120,1433753621,14.652513173,30.1507668032,10.3
121,1433753622,14.652513173,30.1507668032,2.63
122,1433753622,14.652513173,30.1507668032,56.1
123,1433753623,14.652513173,30.1507668032,2.67
124,1433753623,14.652513173,30.1507668032,2.66
125,1433753624,14.652513173,30.1507668032,2.92
126,1433753624,14.652513173,30.1507668032,3.07
127,1433753625,14.652513173,30.1507668032,2.66
128,1433753625,14.5160880178,30.3396411113,2.69
129,1433753626,14.5160880178,30.3396411113,3.21
130,1433753626,14.5169275975,30.3595275998,2.67
131,1433753627,14.5003733029,30.3612560329,3.33
132,1433753627,14.497810186,30.3495664404,2.96
133,1433753628,14.497810186,30.3495664404,3.15
134,1433753628,14.5950960133,30.2402360997,2.77
135,1433753629,14.739030164,30.0443214389,3.21
136,1433753629,14.8855479849,29.8557470278,2.73
137,1433753630,15.0834460667,29.6499715581,2.8
138,1433753630,15.2736417535,29.4511875112,2.68
139,1433753631,15.4141298484,29.2101811726,2.68
140,1433753631,15.6107874423,28.9501182791,2.69
141,1433753632,15.764687253,28.691352442,3.02
142,1433753632,15.764687253,28.691352442,2.68
143,1433753633,16.006271697,28.4604438615,2.76
144,1433753633,16.12444369,28.2365658739,2.79
145,1433753634,16.3042579183,28.0568607385,2.7
146,1433753634,16.4688202394,27.8465059116,2.7
147,1433753635,16.4688202394,27.8465059116,2.64
148,1433753635,16.6397771862,27.6472483878,2.86
149,1433753636,16.6397771862,27.6472483878,2.64
150,1433753636,16.6397771862,27.6472483878,2.67
151,1433753637,16.6397771862,27.6472483878,2.69
152,1433753637,16.6397771862,27.6472483878,2.75
153,1433753638,16.6397771862,27.6472483878,2.68
154,1433753638,16.6397771862,27.6472483878,2.67
155,1433753639,16.6397771862,27.6472483878,2.69
156,1433753639,16.6397771862,27.6472483878,2.74
157,1433753640,16.7430341317,27.5584331333,2.66
158,1433753640,16.7448348238,27.5522011882,2.98
159,1433753641,16.7615741911,27.538093726,2.98
160,1433753641,16.7615741911,27.538093726,2.7
161,1433753642,16.7366051139,27.5271568791,2.71
162,1433753642,16.5980763151,27.7266716993,2.72
163,1433753643,16.4856941146,27.93500044,2.69
164,1433753643,16.3934091675,28.1604126451,2.71
165,1433753644,16.2403461805,28.369259766,2.63
166,1433753644,16.1303633668,28.616226796,2.69
167,1433753645,16.0415333831,28.8534699517,2.73
168,1433753645,15.9273056779,29.0579620481,2.73
169,1433753646,15.8322214931,29.3352017414,2.76
170,1433753646,15.770997153,29.6255156807,2.72
171,1433753647,15.7163794354,29.9225624469,2.89
172,1433753647,15.6158610205,30.1038619869,2.69
173,1433753648,15.4464064518,30.3285803553,2.72
174,1433753648,15.3643123387,30.5351843248,3.16
175,1433753649,15.2829199743,30.7329779571,2.73
176,1433753649,15.1918647093,30.9439387601,2.76
177,1433753650,15.1045886835,31.2082059426,3.74
178,1433753650,14.9051460773,31.6495082722,3.68
179,1433753651,14.9134381948,31.6912758085,2.96
180,1433753651,14.8057811047,31.942672245,2.75
181,1433753652,14.6994169086,32.1935178864,2.7
182,1433753652,14.6965350485,32.6043059662,2.72
183,1433753653,14.697342017,32.6595104795,2.74
184,1433753653,14.6072917776,32.9328960123,2.74
185,1433753654,14.4197353231,33.1819890749,2.78
186,1433753654,14.2776812528,33.4087938521,3.17
187,1433753655,14.2776812528,33.4087938521,3.2
